Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
原;はら, げん;луг, оригинал, поле;原因 (генин - причина) 野原 (нохара - поле);Под утёсом (厂) ЛУГ имеет маленький (小) белый (白) ручей и является очень ПРИМИТИВНОЙ пустошью.
体;からだ, たい, てい;тело;体 (からだ) — тело 体重 (たいじゅう) — вес тела 体裁 (ていさい) — презентация, внешний вид;Основная часть человека — это ТЕЛО (туловище).
自;じ, し;себя, сам;自分 (じぶん) — я сам, ты сам 自由 (じゆう) — свобода 自然 (しぜん) — природа;СЕБЯ часто представляют за глазом (目). Стрелка указывает на него.
仏;ほとけ, ぶつ;Будда;大仏 (だいぶつ) — большая статуя Будды 仏様 (ほとけさま) — Будда;Когда человек находит своё истинное «я», он на пути к становлению БУДДОЙ.
云;い(う), うん;говорить;云爾 (うんじ) — такого рода 云々 (うんぬん) — и так далее;Я сам должен СКАЗАТЬ две (二) строки речи.
臭;くさ(い), にお(う), しゅう;воняющий, запах;臭い (くさい) — вонючий 悪臭 (あくしゅう) — зловоние 口臭 (こうしゅう) — неприятный запах изо рта;С нижней стороны себя (自) может выйти большой (大) ЗАПАХ, который ВОНЯЕТ.
至;いた(る), し;достижение, прибытие;至る (いたる) — прибывать 夏至 (げし) — летнее солнцестояние;Я сам в итоге ДОСТИГНУ обетованной земли (土) и обрету покой.
身;み, しん;тело, человек;出身 (しゅっしん) — место рождения 身長 (しんちょう) — рост;ЧЕЛОВЕК стоит с широко раскрытыми глазами (目), меч на боку его ТЕЛА.
公;おおやけ, こう;общественный, государственный;公園 (こうえん) — общественный парк 公共 (こうきょう) — общественный;В ОБЩЕСТВЕННОЙ ГОСУДАРСТВЕННОЙ бюрократии часто нужно восемь (八) подписей, чтобы одобрить то, что я сам написал.
去;さ(る), きょ, こ;ушедший, прошлое;過去 (かこ) — прошлое 去年 (きょねん) — прошлый год 走り去る (はしりさる) — убегать;Когда я сам копал в земле (土), я нашёл реликвию из ПРОШЛОГО.
参;まい(る), さん;посещение;参る (まいる) — посещать (святилище или могилу) 参加 (さんか) — участие;Я сам ИДУ с ПОСЕЩЕНИЕМ в три большие (大) святилища.
己;おのれ, こ, き;себя;自己 (じこ) — себя, сам;Эта змея может повернуться и посмотреть на своё СЕБЯ.
巻;ま(く), ま(き), かん;свиток, том, книга;巻く (まく) — сворачивать 巻き寿司 (まきずし) — роллы суши 一巻 (いっかん) — первый том;Человек делает большие (大) СВОРАЧИВАЮЩИЕ движения, чтобы привлечь змей.
予;よ;заранее, я сам;予定 (よてい) — планы 予約 (よやく) — бронирование;Я ЗАРАНЕЕ пошёл в место на карте, которое Я САМ называю домом.
指;ゆび, さ(す), し;палец, указывать;指 (ゆび) — палец 指導 (しどう) — руководство;ПАЛЬЦЫ руки (扌) двигаются туда-сюда, чтобы УКАЗАТЬ, как мешать суп ложкой в солнечный день (日).
舌;した, ぜつ;язык;舌 (した) — язык 猫舌 (ねこじた) — не терпит горячей еды/питья;ЯЗЫК с более чем тысячей (千) вкусовых рецепторов торчит из этого рта (口).
胃;い;желудок;胃痛 (いつう) — боль в желудке 胃癌 (いがん) — рак желудка;Если есть слишком много, ЖЕЛУДОК растёт как плодородное поле (田) месяц (月) за месяцем.
話;はな(す), はなし, わ;разговор, история;話す (はなす) — говорить 話 (はなし) — разговор 手話 (しゅわ) — язык жестов;При РАЗГОВОРЕ мы используем слова (言), рты (口) и языки (舌).
心;こころ, しん;сердце, дух, ум;心 (こころ) — сердце, дух 心配 (しんぱい) — беспокойство;Это СЕРДЦЕ имеет четыре энергичные линии, представляющие четыре камеры.
手;て, しゅ, ず;рука;手 (て) — рука 選手 (せんしゅ) — игрок 上手 (じょうず) — умелый;Кандзи для РУКИ имеет четыре штриха, как у руки четыре пальца.
足;あし, た(りる), そく;нога, ступня;足 (あし) — нога, ступня 不足 (ふそく) — недостаток 足りる (たりる) — хватать;У этого человека рот сверху тела с рукой вперёд и преувеличенной СТУПНЁЙ.
頭;あたま, かしら, とう, ず;голова;頭 (あたま) — голова 先頭 (せんとう) — лидер;Счётчик бобов (豆) может считать ГОЛОВЫ крупных животных, коров и лошадей, или страницы (頁) книг.
背;せ, そむ(く), はい;спина, рост, ослушаться;背が高い (せがたかい) — высокий (о человеке) 背景 (はいけい) — фон 背ける (そむける) — отвернуться;Если бы РОСТ был так высок, что севернее (北) луны (月), такой РОСТ ОСЛУШАЛСЯ бы реальности.
顔;かお, がん;лицо;顔 (かお) — лицо 紅顔 (こうがん) — румяные щёки;Человек стоит на обрыве (厂) с ЛИЦОМ, смотрящим наружу, мимо страниц (頁) книги.
面;おも, おもて, つら, めん;маска, лицо, поверхность;面白い (おもしろい) — интересный 面 (めん) — маска 画面 (がめん) — экран;МАСКА с одним глазом (目) лежит на боку с ручкой сверху.
口;くち, こう;рот;口 (くち) — рот 入口 (いりぐち) — вход 火口 (かこう) — кратер;Это открытый РОТ.
目;め, ま, もく;глаз;目 (め) — глаз 目的 (もくてき) — цель;Здесь ГЛАЗ на боку.
眼;まなこ, め, がん, げん;глазное яблоко;眼鏡 (めがね) — очки 肉眼 (にくがん) — невооружённый глаз;Мои глаза (目) не хороши (良), поэтому нужны очки для ГЛАЗНЫХ ЯБЛОК.
耳;みみ, じ;ухо;耳 (みみ) — ухо 耳鼻科 (じびか) — ЛОР (ухо, нос, горло);УХО с висячей серёжкой.
鼻;はな, び;нос;鼻 (はな) — нос 耳鼻科 (じびか) — ЛОР;Я использую НОС, чтобы сам (自) понюхать аромат поля (田) над воротами.
首;くび, しゅ;шея;首 (くび) — шея 首都 (しゅと) — столица;У меня самого (自) очень маленькая ШЕЯ под очень шикарным воротником.
頁;ページ, けつ;страница, лист;五頁 (ごページ) — страница 5;Спираль ракушки (貝) закручивается как от одной (一) до ста (百) СТРАНИЦ или ЛИСТЬЕВ книги.
順;じゅん;порядок, послушание;順番 (じゅんばん) — очередь 書き順 (かきじゅん) — порядок штрихов;Естественный ПОРЯДОК реки (川) — течь вниз, как перелистывать страницы (頁) книги спереди назад.
順;じゅん;послушание, порядок, очередь;順番 (じゅんばん) — очередь 書き順 (かきじゅん) — порядок штрихов;Естественный ПОРЯДОК реки (川) — течь вниз, словно перелистывая страницы (頁) книги спереди назад.
呼;よ(ぶ), こ;звать, приглашать;呼ぶ (よぶ) — звать, приглашать 呼吸 (こきゅう) — дыхание;Этот человек машет руками, чтобы ПОЗВАТЬ друга.
和;なご(やか), やわ(らぐ), わ;гармония, японский стиль, мир;平和 (へいわ) — мир 軟らぐ (やわらぐ) — смягчаться;Сидя рядом с красивым деревом (禾), один рот (口) шепчет мягкие, мирные ГАРМОНИИ.
司;つかさど(る), し;директор, управлять;寿司 (すし) — суши 司る (つかさどる) — править, управлять;ДИРЕКТОР сказал, чтобы сделать новую политику официальной.
号;ごう;номер, сигнал;番号 (ばんごう) — номер 信号 (しんごう) — сигнал, светофор 三号車 (さんごうしゃ) — вагон №3;Мама широко улыбалась, когда ребёнок впервые (一) попытался написать свой НОМЕР пять.
句;く;фраза, предложение;文句 (もんく) — жалоба 俳句 (はいく) — хайку;Когда не знаешь, как сказать правильное ПРЕДЛОЖЕНИЕ, используй рот (口), чтобы говорить вокруг слова или ФРАЗЫ, пока не получится.
可;か;можно, должен;許可 (きょか) — разрешение 可能 (かのう) — возможный;МОЖНО включить радикал человека (ｲ), чтобы написать «что» (何), но НЕ ДОЛЖНО добавлять его к этому кандзи со значением МОЖНО или ДОЛЖЕН.
古;ふる(い), こ;старый;古い (ふるい) — старый (вещь) 中古車 (ちゅうこしゃ) — подержанная машина;СТАРЫЙ крест над СТАРЫМ надгробием.
台;だい, たい;подставка, счётчик для машин;台風 (たいふう) — тайфун 一台 (いちだい) — одна машина;Иногда мой рот (口) много говорит, словно я на ПОДСТАВКЕ.
寄;よ(る), よ(せる), き;приближаться, собирать, отправлять;寄付 (きふ) — пожертвование 寄り (より) — старые люди;Под крышей с трубой большая (大) группа СОБИРАЕТСЯ послушать один (一) рот (口), говорящий о том, что нужно (可) ОТПРАВИТЬ.
后;こう;императрица, королева, после;皇后 (こうごう) — императрица 王后 (おうこう) — королева;Вторая (二) по рангу рот (口) в королевстве — это рот КОРОЛЕВЫ.
吏;り;чиновник;公吏 (こうり) — государственный служащий;Нужно обучиться у ЧИНОВНИКА, чтобы использовать (使) оборудование.
向;む(く), む(こう), こう;туда, направление;向こう (むこう) — противоположная сторона 向き (むき) — направление 方向 (ほうこう) — направление;Эта рука держит компас, НАПРАВЛЕННЫЙ на северо-восток.
各;かく, おのおの;каждый;各自 (かくじ) — каждый индивидуально 各駅 (かくえき) — каждая станция;КАЖДЫЙ и ВСЯКИЙ раз, глядя на складной стол сверху, он может выглядеть как квадрат (口).
合;あ(う), あ(わせる), ごう;подходить, присоединять;合う (あう) — подходить 間に合う (まにあう) — успевать;Когда человек (人) примеряет одну (一) вещь, которая ему ПОДХОДИТ, его рот (口) скажет счастливые вещи, если она действительно ПОДХОДИТ.
名;な, めい, みょう;имя, знаменитый;名前 (なまえ) — имя 有名 (ゆうめい) — знаменитый 名字 (みょうじ) — фамилия;В детстве я помню, как рот матери (口) звал моё ИМЯ, чтобы я шёл ужинать вечером (夕).
呂;ろ;позвоночник;お風呂 (おふろ) — ванна;Два позвонка в форме ртов (口) соединены, образуя ПОЗВОНОЧНИК.
告;こく, つ(げる);откровение, сообщать;広告 (こうこく) — реклама 告げる (つげる) — сообщать;ОТКРОВЕНИЕ видно, когда почва (土) прорастает новой жизнью (生), и рот (口) СООБЩАЕТ нам об этом.
同;おな(じ), どう;одинаковый, согласен;同じ (おなじ) — одинаковый 同時 (どうじ) — одновременно;Глядя на все стороны ситуации, нужно СОГЛАСИТЬСЯ, что вещи ОДИНАКОВЫ с обеих сторон и полностью равны.
君;きみ, ~くん;ты, парень;君 (きみ) — ты ベン君 (ベンくん) — Бен (суффикс);Ртом (口) обращаются к знакомому ПАРНЮ, особенно если у него эполет на плече.
命;いのち, めい, みょう;жизнь, судьба;一所懸命 (いっしょけんめい) — изо всех сил 運命 (うんめい) — судьба;Человек (人) говорит (口) несколько слов, выбранных СУДЬБОЙ, и прокладывает путь к своей СОБСТВЕННОЙ СУДЬБЕ, как фермер мотыгой в поле.
京;きょう, けい;столица;東京 (とうきょう) — Токио 京都 (きょうと) — Киото;Это выглядит как фонарь у ворот древней СТОЛИЦЫ.
味;あじ, あじ(わう), み;вкус;味 (あじ) — вкус 趣味 (しゅみ) — хобби;ВКУС фруктов с верхних ветвей дерева — самый лучший.
品;しな, ~ひん;товары;食品 (しょくひん) — продукты питания 品物 (しなもの) — товары;С тремя ртами (口) на кормление нужно купить много ТОВАРОВ.
咽;む(せる), いん;задыхаться;咽せる (むせる) — задохнуться 咽喉 (いんこう) — горло;Если что-то большое (大) положить в рот, человек может ЗАДОХНУТЬСЯ.
周;まわ(り), しゅう;окружность, круг;周り (まわり) — окружающие люди 世界一周 (せかいっしゅう) — кругосветное путешествие;Совершая КРУГ не по всей территории, рот (口) воскликнул от удивления, насколько велика ОКРУЖНОСТЬ земли (土).
否;いな, いや, ひ;отрицать, нет;否定 (ひてい) — отрицание 否か (いなか) — ... или нет;Чтобы ОТРИЦАТЬ корни, скажи НЕТ ртом (口).
不;ふ;отрицание, не-;不安 (ふあん) — беспокойство 不正 (ふせい) — несправедливость;Корни существуют, но только в ОТРИЦАТЕЛЬНОМ пространстве, которого мы не видим под землёй.
杯;さかずき, はい;чашка, счётчик для чашек;二杯 (にはい) — две чашки 乾杯 (かんぱい) — тост;Стакан был пуст, пока не поставили рядом с клёном (木), но теперь в нём ЧАШКА свежего сиропа.
歌;うた, うた(う), か;песня, петь;歌 (うた) — песня 歌う (うたう) — петь 歌手 (かしゅ) — певец;Рты (口) хора ПОЮТ на подиуме, пока дирижёр направляет.
欠;か(ける), か(く), けつ;недостаток, зевок;欠ける (かける) — повреждаться 不可欠 (ふかけつ) — indispensable;Человек (人) машет руками туда-сюда как дирижёр, заполняя ПРОБЕЛ музыкальной паузой.
次;つぎ, つ(ぐ), じ, し;следующий, порядок;次 (つぎ) — следующий 次男 (じなん) — второй сын 次第に (しだいに) — постепенно;"Две метки льда слева показывают ПОСЛЕДОВАТЕЛЬНОСТЬ событий; СЛЕДУЮЩИЕ две руки человека разбивают их."
喜;よろこ(ぶ), き;радоваться;喜ぶ (よろこぶ) — радоваться 喜劇 (きげき) — комедия;Когда самурай (士) видит, как листья прорастают, его рот (口) может открыться и РАДОВАТЬСЯ увиденному.
器;うつわ, き;утварь, инструмент;食器 (しょっき) — посуда 器の小さい (うつわのちいさい) — нетерпимый;Четыре рта (口) вокруг большого (大) стола нуждаются в УТВАРИ, чтобы есть ужин.
辞;や(める), じ;увольняться, слово;辞書 (じしょ) — словарь;Студенты часто имеют СЛОВА на кончике языка (舌), которые немного острые (辛).
唱;とな(える), しょう;декламировать, хор;合唱 (がっしょう) — хор;Медленная ДЕКЛАМАЦИЯ или РЕЧИТАТИВ о солнце (日) эхом отдаётся.
囁;ささや(く);шептать;囁く (ささやく) — шептать;Три уха (耳) наклоняются, чтобы услышать, как кто-то ШЕПЧЕТ секрет.
着;き(る), つ(く), ちゃく;носить, прибытие;着る (きる) — носить 到着 (とうちゃく) — прибытие;Златовласка увидела волка, НОСЯЩЕГО одежду овцы (羊), по ПРИБЫТИИ к бабушкиному дому.
省;はぶ(く), せい, しょう;опускать, министерство;省く (はぶく) — опускать 帰省 (きせい) — поездка домой;Сидящий человек с мечом использует глаз (目), чтобы СОСРЕДОТОЧИТЬСЯ на нескольких (少) деталях.
直;ただ(ちに), なお(る), ちょく, じき;прямо, честность, чинить;正直 (しょうじき) — честность 直ちに (ただちに) — немедленно 直る (なおる) — ремонтироваться;Когда десять (十) глаз (目) видят проблему ПРЯМО, они наверняка ПОЧИНЯТ её.
県;けん;префектура;秋田県 (あきたけん) — префектура Акита;Когда глаза (目) смотрят на подразделения Японии в чуть меньших (小) частях, можно изучить отдельные ПРЕФЕКТУРЫ.
冒;おか(す), ぼう;рисковать, сталкиваться;冒険 (ぼうけん) — приключение, риск 冒す (おかす) — сталкиваться;РИСКУЕШЬ солнечным ударом, когда солнце (日) высоко и широко, но легче СТОЛКНУТЬСЯ, если защитить глаза (目).
覚;おぼ(える), さ(める), かく;запоминать, просыпаться;覚える (おぼえる) — запоминать 感覚 (かんかく) — чувство;Кусочки знаний ЗАПОМИНАЮТСЯ через МЕМОРИЗАЦИЮ, глядя (見) и полностью изучая их.
且;か(つ), しょ;кроме того, более того;且つ (かつ) — и, также;Я знал, что ты там. И БОЛЕЕ ТОГО, я видел твой глаз, выглядывающий из-за края стола, и ТАКЖЕ знал, что ты под ним.
署;しょ;подпись, полицейский участок;名署 (めいしょ) — подпись 警察署 (けいさつしょ) — полицейский участок;Однажды (日) человек, использовавший лезвие, чтобы вспахать землю соседа (土), должен был пойти в ПОЛИЦЕЙСКИЙ УЧАСТОК поставить свою ПОДПИСЬ на бумагах для всеобщего обозрения.
置;お(く), ち;размещать, ставить;置く (おく) — ставить 位置 (いち) — позиция;Глазами (目) можно определить РАЗМЕЩЕНИЕ мебели до десяти (十) разных способов, прежде чем УСТАНОВИТЬ постоянное место.
罪;つみ, ざい;вина, преступление;有罪 (ゆうざい) — виновный 罪のない (つみのない) — невиновный;Люди, ВИНОВНЫЕ в серьёзном ПРЕСТУПЛЕНИИ, выстроены за колючей проволокой, откуда они смотрят.
見;み(る), み(える), けん;смотреть, мнение;見る (みる) — смотреть 意見 (いけん) — мнение;Ходи и СМОТРИ на вещи вокруг тебя.
視;し;осмотр, смотреть;視力 (しりょく) — зрение 重視 (じゅうし) — придавать важность;Решая, верить в призраков или нет, нужно тщательно СМОТРЕТЬ и дать полный ОСМОТР доказательств.
親;おや, した(しい), しん;родитель, близкий;両親 (りょうしん) — оба родителя 親切 (しんせつ) — доброта 親しい友達 (したしいともだち) — близкий друг;РОДИТЕЛИ стоят (立) на дереве, чтобы наблюдать за своими детьми.
観;かん;вид, внешность;観光 (かんこう) — туризм 観 (かん) — outlook;Человек тщательно смотрит (見) на ВНЕШНОСТЬ старой птицы (隹), чтобы рассмотреть её будущий ВИД.
看;み(る), かん;присматривать;看板 (かんばん) — вывеска 看護師 (かんごし) — медсестра;Если ПРИСМАТРИВАТЬ за больными, часто смотрят на пациента и проверяют рукой (手) температуру.
真;ま, しん;истинный, реальность;写真 (しゃしん) — фотография 真っ直ぐ (まっすぐ) — прямо;Десять (十) глаз (目) смотрят, чтобы изучить стол и увидеть ИСТИННУЮ РЕАЛЬНОСТЬ.
相;あい, そう, しょう;взаимный, вместе;相手 (あいて) — оппонент 首相 (しゅしょう) — премьер-министр 相当 (そうとう) — подходящий;Глазами (目) видно, как ветви дерева (木) gracefully гнутся ВМЕСТЕ.
願;ねが(う), ~ねがい, がん;просьба, желание;お願い (おねがい) — просьба 願書 (がんしょ) — письменная петиция;Под обрывом (厂), на лугу (原), я напишу страницы (貝) поэзии своей любви перед ПРОСЬБОЙ о браке.
題;だい;тема, предмет;問題 (もんだい) — вопрос 宿題 (しゅくだい) — домашнее задание 外題 (がいだい) — немыслимо;Большие туфли нужно заполнить, чтобы изучить в солнечном свете страницы (頁) по ИЗУЧАЕМОЙ ТЕМЕ.
類;たぐ(い), るい;вид, сорт;種類 (しゅるい) — вид, тип 類稀な (たぐいまれな) — уникальный;Есть СОРТ риса (米) с в основном большими (大) зёрнами, как страницы (頁) книги.
聖;せい, しょう;святой;聖日 (せいじつ) — святой день 聖人 (せいじん) — святой;Король (王) может прислушаться (耳) к словам СВЯТЫХ или других СВЯТЫХ посланий, побуждающих его быть ХОЗЯИНОМ королевства.
聞;き(く), ぶん;слышать, спрашивать;聞く (きく) — слушать, слышать 新聞 (しんぶん) — газета;Приложи ухо (耳) к воротам (門), чтобы СЛЫШАТЬ ответ на свой вопрос.
職;しょく;работа, должность;職業 (しょくぎょう) — профессия 就職 (しゅうしょく) — найти работу 退職 (たいしょく) — уход на пенсию;Ища РАБОТУ, держи уши (耳) открытыми для звуков (音) РАБОТЫ и, возможно, борись за неё, но предпочтительно не алебардами (戈).
厳;きび(しい), おごそか, ごん, げん;строгий, достоинство;厳しい (きびしい) — строгий 威厳 (いげん) — достоинство;Мать-птица кормит птенцов над обрывом (厂) и СТРОГО прислушивается ухом (耳) к кому-то, роняющему еду за складным столом.
感;かん;эмоция, чувство;感じる (かんじる) — чувствовать 感謝 (かんしゃ) — благодарность;Когда один (一) имеет ЭМОЦИЮ и говорит о том, что ЧУВСТВУЕТ в сердце (心) у подножия обрыва (厂), он может захотеть использовать алебарду (戈).
愛;いと(しい), あい;любовь;愛する (あいする) — любить 愛子 (あいしご) — любимый ребёнок;Вынимая сердце (心) из обычного контейнера и кладя его на складной стол, проявляются ЛЮБОВЬ и ПРИВЯЗАННОСТЬ.
忠;ちゅう;верность;忠実 (ちゅうじつ) — верный, преданный 忠告 (ちゅうこく) — совет, предупреждение;ВЕРНОСТЬ можно судить, если ПРЕДАННОСТЬ находится в середине (中) сердца (心).
態;たい;отношение, состояние;状態 (じょうたい) — текущее состояние 態度 (たいど) — отношение;Глядя сам на луну (月) и звёзды, я вижу в сердце (心) ВНЕШНОСТЬ и СОСТОЯНИЕ вселенной.
恩;おん;милость, доброта;恩人 (おんじん) — благодетель 恩恵 (おんけい) — милость, благодеяние;Человек в коробке отреагирует с МИЛОСТЬЮ, если ему проявят заботу и ДОБРОТУ от всего сердца (心).
悶;もん, もだ(える);мучить(ся), беспокоиться;悶々 (もんもん) — бесконечное беспокойство;Поместить сердце (心) в проход через закрытые ворота может вызвать БЕСПОКОЙСТВО и МУКИ.
恕;じょ;прощать, терпеть;寛恕 (かんじょ) — прощение 恕す (じょす) — прощать;Женщина (女) могла ТЕРПЕТЬ слова из чужих ртов (口) и ПРОЩАТЬ от всего сердца (心).
怒;いか(り), おこ(る), ど;злиться;怒る (おこる) — злиться 怒り (いかり) — гнев 怒鳴る (どなる) — кричать;Женщина (女) за столом РАЗОЗЛИЛАСЬ, когда её ОБИДЕЛИ, и её сердце (心) разбилось.
忍;しの(ぶ), にん;терпеть, скрывать;忍者 (にんじゃ) — ниндзя 忍び (しのび) — скрытность;СКРЫТЫЙ клинок пронзает сердце (心) человека, который ТЕРПИТ неприятности.
急;いそ(ぐ), きゅう;спешить, внезапный;急ぐ (いそぐ) — спешить 急行 (きゅうこう) — экспресс (поезд);Верхние две метки похожи на катакану コ, согнутые ВНЕЗАПНОЙ скоростью кого-то, уходящего в СПЕШКЕ от всего сердца (心).
思;おも(う), し;думать;思う (おもう) — думать 思考 (しこう) — размышление;Фермер ДУМАЕТ о своём поле (田) от всего сердца (心).
忽;こつ;внезапно;忽ち (たちまち) — мгновенно 粗忽 (そこつ) — небрежный;ВНЕЗАПНО мечта в моём сердце (心) о собаке ИСЧЕЗЛА мгновенно.
志;こころざ(す), こころざし, し;намерение, воля;意志 (いし) — воля 志す (こころざす) — намереваться;Самурай (士) вкладывает сердце (心) в свои ПЛАНЫ, НАДЕЖДЫ и НАМЕРЕНИЯ.
忘;わす(れる), ぼう;забывать;忘れる (わсуреру) — забывать 忘年会 (ぼうねんかい) — новогодняя вечеринка;Крышку поставили на кастрюлю, но в сердце (心) ЗАБЫЛИ, что она сломана с одной стороны.
亡;な(くなる), ぼう;умерший;死亡 (しぼう) — смерть 亡くなる (なくなる) — умереть;Урна для УМЕРШЕГО стоит сломанной.
息;いき, そく;дыхание;息切れ (いきぎれ) — одышка 休息 (きゅうそく) — отдых;ДЫХАНИЕ даёт кислород себе (自) и помогает сердцу (心) продолжать работать.
想;おも(う), そう;концепция, думать;想像 (そうぞう) — воображение 思想 (しそう) — мысль, идеология;ДУМАЙ о дереве (木), любуемом глазом (目) и сердцем (心), создающем КОНЦЕПЦИЮ спокойствия.
意;い;идея, ум;意味 (いみ) — смысл 意見 (いけん) — мнение;Он стоит (立) на солнце (日), принимая к сердцу (心) полную ИДЕЮ смысла жизни.
患;わずら(う), かん;страдать, болезнь;患者 (かんじゃ) — пациент 患う (わずらう) — страдать от;Верность (忠) — одно, но если удвоить, это может стать как БОЛЕЗНЬ и МУЧИТЬ сердце (心).
憲;けん;конституция;憲法 (けんぽう) — конституция 憲兵 (けんぺい) — военная полиция;Когда крыша с трубой поднимается растением, которое всё растёт, и нужно повернуть глаза (目) боком, нужно вложить сердце (心) в новую КОНСТИТУЦИЮ для контроля.
情;なさ(け), じょう;чувства, эмоция;情報 (じょうほう) — информация 情け (なさけ) — жалость;Это сердце (忄) ЧУВСТВУЕТ грусть (青) в лунном свете — символическое ЭМОЦИОНАЛЬНОЕ высвобождение.
悔;く(やむ), くや(しい), かい;раскаиваться;後悔 (こうかい) — сожаление 悔やむ (くやむ) — оплакивать;Человек, смотрящий на каждый (毎) день в календаре, может с маленькой частью сердца РАСКАИВАТЬСЯ в вещах.
憎;にく(む), ぞう;ненавидеть;憎い (にくい) — ненавистный 憎悪 (ぞうお) — ненависть;Когда сердце растянуто до предела, поле (田) без солнца (日), начинаешь НЕНАВИДЕТЬ состояние, но не жизнь.
快;こころよ(い), かい;весёлый, приятный;快適 (かいてき) — приятный 快い (こころよい) — приятный;Даже человек с разбитой коробкой может быть ВЕСЁЛЫМ, увидев что-то хорошее, и даже маленькое сердце (忄) растягивается до новых высот.
慢;まん;насмешка, лень;高慢 (こうまん) — высокомерный 自慢 (じまん) — хвастовство;Несмотря на НАСМЕШКУ, этот маленький человек с большим сердцем упражняется в ЛЕНИ в жаркий день (日), кладя глаза на стол для отдыха.
忙;いそが(しい), ぼう;занятый;忙しい (いそがしい) — занятый 多忙 (たぼう) — очень занятый;БЕСПОКОЙНОЕ сердце (忄) ЗАНЯТО, думая о уборке разбитого горшка.
惚;ほ(れる);влюбляться;自惚れ (うぬぼれ) — самодовольство 一目惚れ (ひとめぼれ) — любовь с первого взгляда;Когда ВЛЮБЛЯЕШЬСЯ в собаку, маленькое сердце (忄) может растянуться большим.
生;い(きる), う(まれる), なま, せい;жизнь, рождаться;生きる (いきる) — жить 学生 (がくせい) — студент 生ビール (なまビール) — разливное пиво;Как всплески роста растений, у человека много стадий ЖИЗНИ, которые мать могла отмечать на стене.
性;さが, せい, しょう;пол, природа;女性 (じょせい) — женщина 相性 (あいしょう) — совместимость;Хотя сердца (忄) одинаковы, мужской ПОЛ проходит стадии жизни (生) с разной скоростью по сравнению с женским ПОЛОМ.
失;うしな(う), しつ;терять, ошибка;失礼 (しつれい) — невежливость 失敗 (しっぱい) — неудача 失う (うしなう) — терять;ОШИБКА была в мысли, что она сможет нести слишком большое растение, за которым не видно, и это привело к ПОТЕРЕ равновесия.
必;かなら(ず), ひつ;неизбежно, обязательно;必ず (かならず) — безусловно 必要 (ひつよう) — необходимый;Перекрещивай сердце (心), когда даёшь клятву: это НЕИЗБЕЖНО случится.
応;こた(える), おう;применять, отвечать;応える (こたえる) — отвечать 応じる (おうじる) — соглашаться;Когда ПРИМЕНЯЕШЬ себя и вкладываешь сердце (心) в принятие вызова, сможешь подняться даже на самую высокую пунктирную скалу (广).
悪;わる(い), あく;плохой, злой;悪い (わるい) — плохой 悪魔 (あくま) — дьявол;Вес Азии (亜), давящий на сердце (心), — ПЛОХОЙ.
票;ひょう;бюллетень, этикетка;投票 (とうひょう) — голосование 入金票 (にゅうきんひょう) — платёжный документ;Большая карта с МЕТКАМИ направлений висит как ЗНАК над табличкой.
血;ち, けつ;кровь;血圧 (けつあつ) — кровяное давление 血 (ち) — кровь;Незаметная щербина в тарелке (皿) может вызвать каплю КРОВИ.
皿;さら;блюдо, тарелка;お皿 (おさら) — тарелка 中皿 (ちゅうざら) — средняя тарелка;Стойка для сушки полна свежевымытых БЛЮД.
盟;めい;союз, клятва;同盟 (どうめい) — союз 加盟 (かめい) — вступление;
盆;ぼん;поднос, фестиваль Бон;お盆 (おぼん) — фестиваль Бон 盆栽 (ぼんさい) — бонсай;Чтобы понять части (分) ФЕСТИВАЛЯ БОН, нужно знать, что семьи собираются и обычно имеют много тарелок (皿) еды, думая о предках.
盛;も(る), さか(る), せい;процветать, бум;盛大 (せいだい) — грандиозный 盛ん (さかん) — популярный 盛り上がる (もりあがる) — набухать;Сообщество ПРОЦВЕТАЛО после рытья шахты в обрыве (厂) алебардами (戈) и имело тарелки (皿) еды в праздновании БУМА.
批;ひ;критика;自己批判 (じこひはん) — самокритика 批判 (ひはん) — критика;Рука (扌) сравнивает (比) КРИТИЧЕСКИ две похожие формы.
折;おり, お(る), せつ;ломать, сгибать;折る (おる) — ломать 骨折 (こっせつ) — перелом кости;Чтобы ЛОМАТЬ твёрдый материал рукой (扌), может понадобиться топор (斤).
扶;ふ;помогать;扶養 (ふよう) — содержание (семьи);Мужчина использовал обе руки (扌), чтобы ПОМОЧЬ нести коробку.
投;な(げる), とう;бросать;投げる (なげる) — бросать 投資 (とうし) — инвестиция;Руками (扌) подбирают старый стул-стол, который кто-то ВЫБРОСИЛ, и ставят на стол.
招;まね(く), しょう;приглашать;招待 (しょうたい) — приглашение 招く (まねく) — приглашать;С рукой (扌) на мече она ПРИГЛАШАЕТ другого говорить.
押;お(す);толкать;押す (おす) — толкать 押し出す (おしだす) — выталкивать;Рука (扌) ТОЛКАЕТ щит (甲) в землю, означая, что другим следует ОСТАНОВИТЬСЯ.
捉;とら(える), そく;ловить;捉える (とらえる) — ловить 捉われる (とらわれる) — быть пойманным;Чтобы ПОЙМАТЬ кого-то, нужно использовать руки (扌), кричать ртом (口) и быть быстрым на ногах (足).
接;せつ, つ(ぐ);касаться, соединять;直接 (ちょくせつ) — прямой 接する (せっする) — касаться;Поставь большой палец вверх женщине (女), которая может встать (立) и СОЕДИНИТЬ вещи.
